,Date,Province,Dengue,date,value,Counts
72,2015-01-01,surigao del sur,20.261713803292526,2015-01-01,,
73,2015-01-01,tarlac,14.274974067130447,2015-01-01,11.533170731707315,41.0
74,2015-01-01,tawi-tawi,1.7915872183049024,2015-01-01,,
75,2015-01-01,zambales,7.962475026782871,2015-01-01,53.0,5.0
76,2015-01-01,zamboanga del norte,10.57946811971212,2015-01-01,32.34942857142857,105.0
77,2015-01-01,zamboanga del sur,15.914782215818331,2015-01-01,45.22916666666666,96.0
78,2015-01-01,zamboanga sibugay,6.475773499555383,2015-01-01,40.02870588235295,85.0
79,2015-02-01,abra,12.025211477857024,2015-02-01,30.82608695652174,46.0
80,2015-02-01,agusan del norte,19.231714688113644,2015-02-01,29.05,20.0
81,2015-02-01,agusan del sur,7.278924089385187,2015-02-01,35.666666666666664,9.0
82,2015-02-01,aklan,4.697098063229898,2015-02-01,26.4,5.0
83,2015-02-01,albay,1.4450581293646458,2015-02-01,39.060526315789474,57.0
84,2015-02-01,antique,3.092719737737366,2015-02-01,31.0,3.0
85,2015-02-01,apayao,23.493086320311452,2015-02-01,43.959375,32.0
86,2015-02-01,aurora,9.331143624962676,2015-02-01,38.857142857142854,7.0
87,2015-02-01,basilan,3.483053854543317,2015-02-01,,
88,2015-02-01,bataan,18.66824426477355,2015-02-01,29.619047619047624,21.0
89,2015-02-01,batangas,5.455891713539705,2015-02-01,23.40816326530612,49.0
90,2015-02-01,benguet,4.800464887125911,2015-02-01,6.888888888888888,45.0
91,2015-02-01,biliran,20.39484418339044,2015-02-01,,
92,2015-02-01,bohol,7.156125338774018,2015-02-01,36.23943661971831,71.0
93,2015-02-01,bukidnon,12.153535901686373,2015-02-01,,
94,2015-02-01,bulacan,8.019268114205314,2015-02-01,11.125,40.0
95,2015-02-01,cagayan,7.921155321348763,2015-02-01,90.625,2.0
96,2015-02-01,camarines norte,1.5429109243236478,2015-02-01,48.96066666666666,30.0
97,2015-02-01,camarines sur,1.9973941688381929,2015-02-01,18.434901960784316,51.0
98,2015-02-01,camiguin,36.16718280250458,2015-02-01,,
99,2015-02-01,capiz,5.384930600065144,2015-02-01,,
100,2015-02-01,catanduanes,1.9159730844101104,2015-02-01,29.516129032258068,31.0
101,2015-02-01,cavite,13.865096956448099,2015-02-01,15.933333333333335,30.0
102,2015-02-01,cebu,6.8215783793958975,2015-02-01,27.276595744680854,47.0
103,2015-02-01,compostela valley,8.150988918730565,2015-02-01,56.225,40.0
104,2015-02-01,cotabato,13.553209392736495,2015-02-01,20.5,10.0
105,2015-02-01,davao del norte,1.8694678510565443,2015-02-01,59.66666666666666,36.0
106,2015-02-01,davao del sur,6.709101735141437,2015-02-01,52.392156862745104,51.0
107,2015-02-01,davao oriental,24.330987301371483,2015-02-01,46.15041666666667,24.0
108,2015-02-01,dinagat islands,1.572920598968164,2015-02-01,15.2,5.0
109,2015-02-01,eastern samar,3.8530696121243264,2015-02-01,63.33333333333334,3.0
110,2015-02-01,guimaras,0.5726950456151604,2015-02-01,,
111,2015-02-01,ifugao,2.9585507046281587,2015-02-01,8.686746987951809,83.0
112,2015-02-01,ilocos norte,4.7211089210411386,2015-02-01,3.2,15.0
113,2015-02-01,ilocos sur,6.524878637257348,2015-02-01,67.0,1.0
114,2015-02-01,iloilo,4.3616568424540185,2015-02-01,28.6,25.0
115,2015-02-01,isabela,6.902757714459269,2015-02-01,24.5,2.0
116,2015-02-01,kalinga,12.224938875305623,2015-02-01,13.716,5.0
