,Date,Province,Unnamed: 0,count,mosquito,date,Dengue
67,2015-08-01,antique,7,2.0,46.43,2015-08-01,45.703525013229964
68,2015-09-01,antique,8,8.0,64.46125,2015-09-01,43.81352961794602
69,2015-10-01,antique,9,11.0,54.223636363636366,2015-10-01,24.91357566510656
70,2015-11-01,antique,10,14.0,53.05571428571428,2015-11-01,23.882669085860773
71,2015-12-01,antique,11,6.0,26.185,2015-12-01,12.370878950949464
72,2015-01-01,apayao,0,33.0,41.514545454545456,2015-01-01,34.4005906833132
73,2015-02-01,apayao,1,31.0,45.377419354838715,2015-02-01,23.493086320311452
74,2015-03-01,apayao,2,22.0,35.32136363636364,2015-03-01,9.229426768693784
75,2015-04-01,apayao,3,2.0,31.5,2015-04-01,5.873271580077863
76,2015-05-01,apayao,4,1.0,50.0,2015-05-01,6.7123103772318435
77,2015-06-01,apayao,5,2.0,49.105,2015-06-01,77.19156933816619
78,2015-07-01,apayao,6,23.0,49.62347826086956,2015-07-01,109.07504363001745
79,2015-08-01,apayao,7,29.0,53.97724137931034,2015-08-01,234.09182440596052
80,2015-09-01,apayao,8,30.0,48.849,2015-09-01,145.9927507047926
81,2015-10-01,apayao,9,21.0,36.68142857142857,2015-10-01,102.3627332527856
82,2015-11-01,apayao,10,18.0,39.38444444444442,2015-11-01,103.20177204993959
83,2015-12-01,apayao,11,14.0,57.74500000000001,2015-12-01,93.97234528124581
84,2015-01-01,aurora,0,7.0,38.91285714285714,2015-01-01,16.329501343684683
85,2015-02-01,aurora,1,7.0,38.857142857142854,2015-02-01,9.331143624962676
86,2015-03-01,aurora,2,6.0,45.83333333333334,2015-03-01,9.797700806210809
87,2015-04-01,aurora,3,4.0,78.0,2015-04-01,9.797700806210809
88,2015-05-01,aurora,4,2.0,76.5,2015-05-01,10.264257987458944
89,2015-06-01,aurora,5,11.0,51.68363636363636,2015-06-01,14.929829799940281
90,2015-07-01,aurora,6,25.0,40.0444,2015-07-01,40.123917587339506
91,2015-08-01,aurora,7,23.0,44.94695652173913,2015-08-01,49.45506121230218
92,2015-09-01,aurora,8,21.0,35.070476190476185,2015-09-01,73.71603463720514
93,2015-10-01,aurora,9,13.0,41.751538461538466,2015-10-01,69.51702000597193
94,2015-11-01,aurora,10,12.0,37.21666666666667,2015-11-01,33.592117049865635
95,2015-12-01,aurora,11,10.0,38.054,2015-12-01,43.856375037324575
96,2015-01-01,basilan,0,,44.32914027149321,2015-01-01,3.483053854543317
97,2015-02-01,basilan,1,,43.43468,2015-02-01,3.483053854543317
98,2015-03-01,basilan,2,,44.19710280373831,2015-03-01,4.789199049997061
99,2015-04-01,basilan,3,,8.9625,2015-04-01,4.136126452270189
100,2015-05-01,basilan,4,,27.91666666666667,2015-05-01,2.6122903909074875
101,2015-06-01,basilan,5,,45.589375,2015-06-01,6.095344245450804
102,2015-07-01,basilan,6,,46.705765306122466,2015-07-01,12.408379356810567
103,2015-08-01,basilan,7,,46.82348484848487,2015-08-01,6.313035111359762
104,2015-09-01,basilan,8,,49.38109311740892,2015-09-01,5.877653379541847
105,2015-10-01,basilan,9,,44.55231958762887,2015-10-01,3.9184355863612317
106,2015-11-01,basilan,10,,40.15056818181818,2015-11-01,4.5715081840881036
107,2015-12-01,basilan,11,,42.91578125000001,2015-12-01,5.006889915906018
108,2015-01-01,bataan,0,16.0,27.625,2015-01-01,24.715703674488925
109,2015-02-01,bataan,1,18.0,34.55555555555556,2015-02-01,18.66824426477355
110,2015-03-01,bataan,2,14.0,34.69857142857143,2015-03-01,12.226385328337606
111,2015-04-01,bataan,3,4.0,18.0,2015-04-01,6.7047919542496555
112,2015-05-01,bataan,4,3.0,18.0,2015-05-01,4.469861302833103
